closing_id,date,business_date,weekday,daily_expenses,daily_result,meals_quantity,restaurant_meals_quantity,large_marmitas_quantity,small_marmitas_quantity,notes
FEC-20260430-21,30/04/2026,30/04/2026,quinta-feira,1996.2,2685.3,118,45,38,35,The sum of 'S
FEC-20260429-43,29/04/2026,29/04/2026,quarta-feira,2824.21,2248,98,41,26,31,
FEC-20260428-25,28/04/2026,28/04/2026,terca-feira,1741.4,2060.9,83,29,30,24,
FEC-20260427-22,27/04/2026,27/04/2026,segunda-feira,3285.62,1813,231,31,175,25,The sum of 'S
FEC-20260425-36,25/04/2026,25/04/2026,sabado,1973.58,3041.1,128,44,44,40,The sum of 'C
FEC-20260424-28,24/04/2026,24/04/2026,sexta-feira,1671.19,2467.4,122,44,34,44,The sum of ir
FEC-20260423-24,23/04/2026,23/04/2026,quinta-feira,2099.95,2084.9,97,35,42,20,The sum of 'S
FEC-20260422-26,22/04/2026,22/04/2026,quarta-feira,2292.97,2312.8,97,38,20,39,The sum of 'S
FEC-20260421-29,21/04/2026,21/04/2026,terca-feira,80,1447.9,60,17,29,14,The sum of 'M
FEC-20260420-39,20/04/2026,20/04/2026,segunda-feira,3298.8,1202,174,15,136,23,Fechamento
FEC-20260418-34,18/04/2026,18/04/2026,sabado,1367.11,3129.2,132,53,48,31,Fechamento
FEC-20260417-19,17/04/2026,17/04/2026,sexta-feira,2398.05,2945.9,125,50,49,26,The sum of ir
FEC-20260416-32,16/04/2026,16/04/2026,quinta-feira,1717.1,3278.3,174,60,79,35,
FEC-20260415-33,15/04/2026,15/04/2026,quarta-feira,2819.95,2093.4,86,36,28,22,The sum of 'E
FEC-20260414-27,14/04/2026,14/04/2026,terca-feira,681.49,2049,99,27,40,32,Fechamento
FEC-20260413-37,13/04/2026,13/04/2026,segunda-feira,3816.95,2344.7,189,50,121,18,Fechamento
FEC-20260411-17,11/04/2026,11/04/2026,sabado,545.08,3632.56,154,60,52,42,The sum of 'C
FEC-20260410-38,10/04/2026,10/04/2026,sexta-feira,657.13,2618.9,114,42,41,31,The sum of 'M
FEC-20260409-35,09/04/2026,09/04/2026,quinta-feira,7918.44,2540,196,38,135,23,The sum of 'S
FEC-20260408-40,08/04/2026,08/04/2026,quarta-feira,250,3683.54,89,34,24,31,The sum of 'S
FEC-20260407-30,07/04/2026,07/04/2026,terca-feira,4579.36,2742.6,100,45,37,18,The sum of 'S
FEC-20260406-20,06/04/2026,06/04/2026,segunda-feira,3228.78,1862.4,158,27,106,25,Fechamento
FEC-20260404-31,04/04/2026,04/04/2026,sabado,1293.75,2181,94,31,41,22,The sum of ir
FEC-20260402-41,02/04/2026,02/04/2026,quinta-feira,950.03,2433.4,215,52,132,31,Fechamento
FEC-20260401-18,01/04/2026,01/04/2026,quarta-feira,2030.05,3476.92,102,30,31,41,Fechamento
