closing_id,date,business_date,weekday,daily_expenses_num,daily_result_num,meals_quantity_num,restaurant_meals_quantity_num,large_marmitas_quantity_num,small_marmitas_quantity_num,total_marmitas,margem,margem_pct,teve_correcao,notes,arquivo_origem
FEC-20260401-18,01/04/2026,01/04/2026,quarta-feira,2030.05,3476.92,102.0,30.0,31.0,41.0,72.0,1446.8700000000001,41.61355452526949,False,Fechamento,exemplo-fechamento-2026-04.csv
FEC-20260402-41,02/04/2026,02/04/2026,quinta-feira,950.03,2433.4,215.0,52.0,132.0,31.0,163.0,1483.3700000000001,60.95874085641489,False,Fechamento,exemplo-fechamento-2026-04.csv
FEC-20260404-31,04/04/2026,04/04/2026,sabado,1293.75,2181.0,94.0,31.0,41.0,22.0,63.0,887.25,40.6808803301238,False,The sum of ir,exemplo-fechamento-2026-04.csv
FEC-20260406-20,06/04/2026,06/04/2026,segunda-feira,3228.78,1862.4,158.0,27.0,106.0,25.0,131.0,-1366.38,-73.36662371134021,False,Fechamento,exemplo-fechamento-2026-04.csv
FEC-20260407-30,07/04/2026,07/04/2026,terca-feira,4579.36,2742.6,100.0,45.0,37.0,18.0,55.0,-1836.7599999999998,-66.97148691023116,False,The sum of 'S,exemplo-fechamento-2026-04.csv
FEC-20260408-40,08/04/2026,08/04/2026,quarta-feira,250.0,3683.54,89.0,34.0,24.0,31.0,55.0,3433.54,93.2130504894748,False,The sum of 'S,exemplo-fechamento-2026-04.csv
FEC-20260409-35,09/04/2026,09/04/2026,quinta-feira,7918.44,2540.0,196.0,38.0,135.0,23.0,158.0,-5378.44,-211.7496062992126,False,The sum of 'S,exemplo-fechamento-2026-04.csv
FEC-20260410-38,10/04/2026,10/04/2026,sexta-feira,657.13,2618.9,114.0,42.0,41.0,31.0,72.0,1961.77,74.90816755126197,False,The sum of 'M,exemplo-fechamento-2026-04.csv
FEC-20260411-17,11/04/2026,11/04/2026,sabado,545.08,3632.56,154.0,60.0,52.0,42.0,94.0,3087.48,84.99460435615654,False,The sum of 'C,exemplo-fechamento-2026-04.csv
FEC-20260413-37,13/04/2026,13/04/2026,segunda-feira,3816.95,2344.7,189.0,50.0,121.0,18.0,139.0,-1472.25,-62.790548897513546,False,Fechamento,exemplo-fechamento-2026-04.csv
FEC-20260414-27,14/04/2026,14/04/2026,terca-feira,681.49,2049.0,99.0,27.0,40.0,32.0,72.0,1367.51,66.74036115178136,False,Fechamento,exemplo-fechamento-2026-04.csv
FEC-20260415-33,15/04/2026,15/04/2026,quarta-feira,2819.95,2093.4,86.0,36.0,28.0,22.0,50.0,-726.5499999999997,-34.706697238941416,False,The sum of 'E,exemplo-fechamento-2026-04.csv
FEC-20260416-32,16/04/2026,16/04/2026,quinta-feira,1717.1,3278.3,174.0,60.0,79.0,35.0,114.0,1561.2000000000003,47.622243235823454,False,,exemplo-fechamento-2026-04.csv
FEC-20260417-19,17/04/2026,17/04/2026,sexta-feira,2398.05,2945.9,125.0,50.0,49.0,26.0,75.0,547.8499999999999,18.59703316473743,False,The sum of ir,exemplo-fechamento-2026-04.csv
FEC-20260418-34,18/04/2026,18/04/2026,sabado,1367.11,3129.2,132.0,53.0,48.0,31.0,79.0,1762.09,56.3111977502237,False,Fechamento,exemplo-fechamento-2026-04.csv
FEC-20260420-39,20/04/2026,20/04/2026,segunda-feira,3298.8,1202.0,174.0,15.0,136.0,23.0,159.0,-2096.8,-174.44259567387687,False,Fechamento,exemplo-fechamento-2026-04.csv
FEC-20260421-29,21/04/2026,21/04/2026,terca-feira,80.0,1447.9,60.0,17.0,29.0,14.0,43.0,1367.9,94.47475654396021,False,The sum of 'M,exemplo-fechamento-2026-04.csv
FEC-20260422-26,22/04/2026,22/04/2026,quarta-feira,2292.97,2312.8,97.0,38.0,20.0,39.0,59.0,19.830000000000382,0.8574022829470935,False,The sum of 'S,exemplo-fechamento-2026-04.csv
FEC-20260423-24,23/04/2026,23/04/2026,quinta-feira,2099.95,2084.9,97.0,35.0,42.0,20.0,62.0,-15.049999999999727,-0.7218571634131002,False,The sum of 'S,exemplo-fechamento-2026-04.csv
FEC-20260424-28,24/04/2026,24/04/2026,sexta-feira,1671.19,2467.4,122.0,44.0,34.0,44.0,78.0,796.21,32.269190240739235,False,The sum of ir,exemplo-fechamento-2026-04.csv
FEC-20260425-36,25/04/2026,25/04/2026,sabado,1973.58,3041.1,128.0,44.0,44.0,40.0,84.0,1067.52,35.10308769853014,False,The sum of 'C,exemplo-fechamento-2026-04.csv
FEC-20260427-22,27/04/2026,27/04/2026,segunda-feira,3285.62,1813.0,231.0,31.0,175.0,25.0,200.0,-1472.62,-81.22559293987864,False,The sum of 'S,exemplo-fechamento-2026-04.csv
FEC-20260428-25,28/04/2026,28/04/2026,terca-feira,1741.4,2060.9,83.0,29.0,30.0,24.0,54.0,319.5,15.502935610655538,False,,exemplo-fechamento-2026-04.csv
FEC-20260429-43,29/04/2026,29/04/2026,quarta-feira,2824.21,2248.0,98.0,41.0,26.0,31.0,57.0,-576.21,-25.632117437722425,False,,exemplo-fechamento-2026-04.csv
FEC-20260430-21,30/04/2026,30/04/2026,quinta-feira,1996.2,2685.3,118.0,45.0,38.0,35.0,73.0,689.1000000000001,25.66193721371914,False,The sum of 'S,exemplo-fechamento-2026-04.csv
